Чек-лист и результаты выполнения тестов: тестирование окон «Способ оплаты» и «Добавление карты»,,,,,
,,,,,
№,Описание проверки,"""Окружение 1
(Windows 7 х64, Яндекс.Браузер Версия
22.3.3.855  800x600)""
",Ссылка на баг-репорт,"""Окружение 2
(Windows 7 х64, FireFox Версия
99.0.1 (32 бита) 1920x1080)""
",Ссылка на баг-репорт
1,При нажатии на поле Способ оплаты открывается окно Способ оплаты,PASSED,,PASSED,
2,При нажатии на кнопку Добавить карту открывается форма Добавление карты,PASSED,,PASSED,
3,"Окно ""Добавление карты"" соответствует макету.",FAILED,BUG-522836,FAILED,BUG-522946
4,"Окно ""Добавление карты"" соответствует макету по дизайну.",PASSED,,PASSED,
5,"После добавления данных карты, нажимаем ""Привязать"".",PASSED,,PASSED,
7,"При нажатии на кнопку ""Привязать"", появляется окно ""Способы оплаты"" с добавленой картой.",PASSED,,PASSED,
8,"Окно ""Способ оплаты"" соответствует макету.",FAILED,BUG-522802,FAILED,BUG-522818
9,"Окно ""Способ оплаты"" соответствует макету по дизайну.",FAILED,BUG-522752,FAILED,BUG-522774
10,Формат кода соответствует nn ,PASSED,,PASSED,
11,Формат карты соответствует nnnn nnnn nnnn,PASSED,,PASSED,
12,В номере карты только цифры,PASSED,,PASSED,
13,"В номере карты система ставит пробелы между группами чисел автоматически, от 0000 до 9999",FAILED,BUG-668988,FAILED,BUG-668982
14,В номере кода только двухзначное число от 01 до 99,PASSED,,PASSED,
15,"Когда карта добавлена, в интерфейсе отображаются последние 4 цифры её номера",FAILED,BUG-669017,FAILED,BUG-669018
16,"При большом количестве карт, появляется скролл",FAILED,BUG-669044,FAILED,BUG-669040
17,"Когда карта выбрана , она становиться выделена жирным шрифтом",FAILED,BUG-669069,FAILED,BUG-669065
18,"Когда введены данные номера карты, они выделены крупным черным цветом",FAILED,BUG-669089,FAILED,BUG-669099
19,"Когда введены данные кода карты, они выделены крупным черным цветом",FAILED,BUG-669116,FAILED,BUG-669110
20,"При нажатии на ""крестик"" в добавлении карты, окно ввода данных карты закрывается",PASSED,,PASSED,
21,"При нажатии на ""крестик"" в способах оплаты,список карт закрывется",PASSED,,PASSED,
22,"При нажатии на ""плюсик"" в способах оплаты, открывается окно добавление карты",PASSED,,PASSED,
23,"При нажатии отмены в добавлениях карты, окно закрывается",PASSED,,PASSED,
24,В поле номера кода нельзя ввести 00,FAILED,BUG-669166,FAILED,BUG-669135
25,В поле номера кода можно ввести 01,PASSED,,PASSED,
26,В поле номера кода можно ввести 98,PASSED,,PASSED,
27,В поле номера кода можно ввести 99,PASSED,,PASSED,
28,В поле номера кода нельзя ввести спецсимволы,FAILED,BUG-669183,FAILED,BUG-669179
29,В поле номера кода нельзя ввести русские символы,FAILED,BUG-669188,FAILED,BUG-669193
30,В поле номера кода нельзя ввести английские символы,FAILED,BUG-669200,FAILED,BUG-669196
31,В номере карты нельзя ввести русские символы,FAILED,BUG-669217,FAILED,BUG-669214
32,В номере карты нельзя ввести  английские символы,FAILED,BUG-669221,FAILED,BUG-669223
33,В номере карты нельзя ввести спецсимволы,FAILED,BUG-669172,FAILED,BUG-669173
34,В номер карты нельзя ввести больше 12 символов,FAILED,BUG-669226,FAILED,BUG-669225
35,В поле номера  код карты нельзя ввести больше 2 символов,FAILED,BUG-669206,FAILED,BUG-669209