Чек-лист и результаты выполнения тестов: тестирование нового вида транспорта Аэротакси,,,
,,,
№,Описание проверки,"""Окружение 1
(Windows 7 х64, Яндекс.Браузер Версия
22.3.3.855  800x600)""
",Ссылка на баг-репорт
1,"Проверить, что аэротакси появилось в интерфейсе приложения",PASSED,
2,"Проверить, что расчёт стоимости для аэротакси отобразился в интерфейсе",FAILED,BUG-591626
3,"Проверить, что название тарифа в строке стоимости отображается как ""Аэротакси""",FAILED,BUG-591663
4,"Проверить, что логотип с вертолетом отображается корректно в ряду логотипов видов транспорта",PASSED,
5,Проверить верстку панели видов транпорта при добавлении значка вертолета,PASSED,
6,"Проверить, что кнопка выбора вида транспорта с вертолетом кликабельна",PASSED,
7,"Проверить, что кнопка со значком при нажатии меняет цвет",PASSED,
8,При выборе аэротакси и выбранном адресе на карте отображается путь,PASSED,
9,,,
10,,,